id;start_time;end_time;count_from;count_to;point;last_update;owner;status
1;2021-04-06T04:56:59;2021-04-06T11:16:15;55443;56357;2372;2021-04-06T12:31:32;Zealand;Open
2;2021-04-06T17:05:52;2021-04-06T10:20:19;82068;20220;50609;2021-04-06T18:40:02;Loan Singapore;Waiting
3;2021-04-06T15:39:27;2021-04-06T07:18:35;74704;9969;90971;2021-04-06T16:58:51;Account synergy;Open
4;2021-04-06T21:09:27;2021-04-07T03:40:06;99891;95460;38023;2021-04-06T16:58:22;Handmade Account;Completed
5;2021-04-06T14:28:27;2021-04-06T09:07:48;57559;32766;46375;2021-04-06T15:45:54;payment;Processing
6;2021-04-06T10:10:25;2021-04-06T19:14:45;63430;59561;27486;2021-04-07T03:31:17;Practical;Completed
7;2021-04-06T20:10:51;2021-04-06T12:45:50;34295;26645;8809;2021-04-06T08:33:00;users payment;Waiting
8;2021-04-06T19:24:50;2021-04-07T02:55:21;50338;60409;67422;2021-04-06T06:27:59;Self-enabling;Waiting
9;2021-04-06T08:42:10;2021-04-06T21:36:31;40593;21866;9646;2021-04-07T00:07:11;Sports drive connect;Open
10;2021-04-06T13:10:43;2021-04-06T10:57:43;23819;48235;57964;2021-04-06T15:54:46;content;Completed
