id;status;log_detail;log_detail_content_type;last_update
1;EXE;../fake-data/blob/hipster.png;image/png;2021-04-06T17:01:15
2;open-source Shoes flexibility;../fake-data/blob/hipster.png;image/png;2021-04-06T18:32:56
3;Focused Accounts payment;../fake-data/blob/hipster.png;image/png;2021-04-06T19:22:00
4;Games Tuna;../fake-data/blob/hipster.png;image/png;2021-04-07T00:14:46
5;Implementation program index;../fake-data/blob/hipster.png;image/png;2021-04-06T07:08:02
6;Pizza programming;../fake-data/blob/hipster.png;image/png;2021-04-06T06:04:13
7;supply-chains;../fake-data/blob/hipster.png;image/png;2021-04-06T08:32:41
8;Markets;../fake-data/blob/hipster.png;image/png;2021-04-06T06:01:43
9;Buckinghamshire Steel cross-platform;../fake-data/blob/hipster.png;image/png;2021-04-06T06:59:38
10;Internal;../fake-data/blob/hipster.png;image/png;2021-04-06T19:42:12
