id;task_name;description;source;price;social;type
1;(Chagos Gorgeous Frozen;Car;systemic THX;55462;Instagram;NonStream
2;value-added Buckinghamshire turquoise;value-added collaboration;AGP;20319;Instagram;Stream
3;Analyst Table;TCP;Branding;32900;Other;NonStream
4;Object-based plug-and-play bandwidth;deposit;Bedfordshire Garden;7600;Other;Stream
5;hard JBOD white;Global Rial;1080p SSL SDD;6838;Other;NonStream
6;one-to-one;Lebanon Awesome;deposit;76478;Facebook;Stream
7;Card open-source;solid;innovate;86420;Youtube;NonStream
8;generate frictionless Small;azure bluetooth;Licensed mobile THX;81867;Instagram;Stream
9;Sports Lake;Integration Senior;synergistic;51099;Instagram;NonStream
10;digital Baby payment;reboot indexing;channels front-end;91016;Tiktok;NonStream
