id;ip_address;mac_address;os;device_type;status;last_update;owner
1;Central;panel Group;metrics Litas;ELUMATOR;Online;2021-04-07T00:30:30;invoice
2;Connecticut;seize Representative up;mobile Games grey;COMPUTER;Offline;2021-04-07T02:27:16;hacking Consultant
3;Gloves Group Tasty;Toys;generating Handmade back-end;MOBILE;Offline;2021-04-06T17:44:38;magenta
4;bus Personal;hacking parse;solutions Point e-business;TABLET;Online;2021-04-07T03:39:31;Checking
5;Yen Rubber;Ergonomic;Throughway Underpass Avon;VMW;Online;2021-04-06T14:04:19;Cambridgeshire synthesize Soft
6;Awesome Frozen Handmade;firewall;feed West Interactions;VPS;Online;2021-04-07T00:07:51;gold
7;programming interface Bacon;Herzegovina Car;Cross-group synthesize Buckinghamshire;ELUMATOR;Offline;2021-04-06T04:39:54;Small Buckinghamshire Faroe
8;B2B Chair reboot;index;matrix navigating;ELUMATOR;Online;2021-04-06T18:16:07;plug-and-play wireless
9;Locks Borders Fundamental;incubate deposit;clear-thinking;MOBILE;Online;2021-04-06T16:13:22;alarm Center logistical
10;challenge Fantastic;Awesome;Buckinghamshire;VMW;Offline;2021-04-06T05:08:07;Metal
