id;url;title;other_source;count;last_update;owner;status
1;http://franz.com;Small Concrete;District protocol Beauty;62371;2021-04-06T11:51:19;International supply-chains Soap;Open
2;https://davin.name;mobile;systems;15584;2021-04-06T12:14:30;Savings Licensed Borders;Open
3;http://odie.net;Buckinghamshire Helena;24/365 withdrawal Account;62597;2021-04-06T04:08:15;User-friendly;Processing
4;https://odell.org;mint;seize Coves Account;47595;2021-04-06T07:24:53;Research deliverables;Waiting
5;https://david.name;Kansas Square;Incredible green;6104;2021-04-06T10:16:24;Account;Processing
6;http://alexandra.net;bandwidth parsing Optimization;upward-trending;85743;2021-04-06T08:01:42;protocol Awesome e-tailers;Completed
7;http://bridget.com;Shoes;neural;84460;2021-04-06T23:24:25;core Coordinator deposit;Waiting
8;http://margie.info;leading-edge National silver;User-centric;28964;2021-04-07T00:57:36;card Wooden;Waiting
9;https://amber.biz;Union Market;SDD front-end;84691;2021-04-06T18:04:07;navigate;Waiting
10;https://dell.net;Solutions invoice;Mozambique Fresh tangible;73936;2021-04-06T14:42:10;Plain Home Human;Completed
